EAN;descrpcion_es;id_familia_producto;en_showroom;rack;modulo;fila;en_almacen;en_self;Ubicacion
5059340460222;AZULEJO JANISE 25X40 BLANCO MATE;178;SI;RACK 09;MODULO 1;FILA 1;SI;NO;28-13-301
5036581063580;AZULEJO PLAIN CATANZARO DECOR 20X60;178;SI;RACK 09;MODULO 1;FILA 3;SI;NO;28-13-103
5059340719603;AZULEJO MARTIA 20X60 MOSAICO AZUL;178;SI;RACK 09;MODULO 1;FILA 5;SI;NO;28-13-203
8432712279467;AZULEJO BLANCO MATE 20X20;178;SI;RACK 09;MODULO 1;FILA 2;SI;NO;28-13-303
3663602848363;AZULEJO ALEXANDRINA DECOR 25X40;178;SI;RACK 09;MODULO 1;FILA 1;SI;NO;28-13-402
5059340719634;AZULEJO MARTIA 20X60 MOSAICO GRIS;178;SI;RACK 09;MODULO 1;FILA 5;SI;NO;28-13-202
5036581063542;AZULEJO PLAIN BLANCO BRILLANTE 20X60;178;SI;RACK 09;MODULO 1;FILA 3;SI;NO;28-13-101
8432712279436;AZULEJO BLANCO BRILLO 20X20;178;SI;RACK 09;MODULO 1;FILA 2;SI;NO;28-13-302
3663602848349;AZULEJO BL ALEXANDRINA 25X40;178;SI;RACK 09;MODULO 1;FILA 1;NO;SI;26-01-102
5036581063504;AZULEJO PLAIN CATANZARO 20X60;178;SI;RACK 09;MODULO 1;FILA 3;SI;NO;28-13-201
5059340269535;AZULEJO CRIZI BLANCO MATE 30X60;178;NO;#N/A;#N/A;#N/A;NO;SI;26-02-102
5036581063887;AZULEJO PLAIN MATE 20X60;178;SI;RACK 09;MODULO 1;FILA 3;NO;SI;26-03-102
8435414124240;AZULEJO POLAR RELEVAR MATE 30X90;178;SI;RACK 09;MODULO 1;FILA 2;SI;NO;28-08-101
5036581064327;AZULEJO PEROUSO 30X60 DECOR;178;SI;RACK 09;MODULO 1;FILA 4;SI;NO;28-13-401
8429991787660;AZULEJO BLANCO BRILLO 30X60;178;SI;RACK 09;MODULO 1;FILA 4;SI;NO;28-13-403
8435414111127;AZULEJO POLAR MATE 30X90;178;SI;RACK 09;MODULO 1;FILA 2;SI;NO;28-08-203
5036581064310;AZULEJO PEROUSO 30X60;178;SI;RACK 09;MODULO 1;FILA 4;NO;SI;26-02-103
5036581064679;AZULEJO TREINTE 10X20 BLANCO;178;SI;RACK 09;MODULO 1;FILA 5;NO;SI;26-01-103
5059340719559;AZULEJO BLANCO BRILLO 30X90;178;SI;RACK 09;MODULO 1;FILA 1;NO;SI;26-05-103
5059340854229;AZULEJO SHADED SLATE 30X60 ANTRACITA DECOR;174;SI;RACK 08;MODULO 2;FILA 4;SI;NO;28-04-103
5059340854205;AZULEJO SHADED SLATE 30X60 GRIS DECOR;174;SI;RACK 08;MODULO 2;FILA 4;SI;NO;28-10-301
8429991792282;AZULEJO SOPELANA LIGHT 30X60;174;SI;RACK 08;MODULO 2;FILA 1;SI;NO;28-10-402
5059340781938;AZULEJO ZALIE NATURAL 30X90;174;SI;RACK 08;MODULO 2;FILA 3;SI;NO;28-09-403
5059340719573;AZULEJO PAMELIA 30X90 EFECTO TEXTIL MULTICOL;174;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
8429991787622;AZULEJO SOPELANA CEMENT 30X60;174;SI;RACK 08;MODULO 2;FILA 1;SI;NO;28-10-401
5059340719535;AZULEJO OCTAVIO 30X90 MADERA NATURAL;174;SI;RACK 08;MODULO 2;FILA 2;NO;SI;26-05-102
5059340719658;AZULEJO PABLO 30X90 BEIGE PIEDRA;174;SI;RACK 08;MODULO 2;FILA 1;NO;SI;26-02-101
8429991787639;AZULEJO LEÑO GRIS 30X60;174;SI;RACK 08;MODULO 2;FILA 3;SI;NO;28-10-403
5036581066345;AZULEJO CHALKY 20X60;174;SI;RACK 09;MODULO 2;FILA 1;SI;NO;28-08-401
8429991953584;AZULEJO MAVERICKS GRIS 30X90;174;SI;RACK 08;MODULO 2;FILA 3;SI;NO;28-10-302
8435414120945;AZULEJO LOCK DECOR LIGHT 30X90;174;SI;RACK 09;MODULO 2;FILA 5;SI;NO;28-11-102
5036581065751;AZULEJO METAL DECOR 20X60;174;SI;RACK 09;MODULO 2;FILA 2;SI;NO;28-08-103
5059340460284;AZULEJO TRAVERTINA DECOR 25X40;174;SI;RACK 08;MODULO 2;FILA 2;SI;NO;28-08-402
5059340815510;AZULEJO ELY HOJAS 30X90;174;SI;RACK 09;MODULO 2;FILA 5;SI;NO;28-12-402
5036581065744;AZULEJO METAL 20X60;174;SI;RACK 09;MODULO 2;FILA 2;SI;NO;28-10-101
5059340460277;AZULEJO TRAVERTINA BEIGE 25X40;174;SI;RACK 08;MODULO 2;FILA 2;SI;NO;28-09-202
5059340781969;AZULEJO ELY GRIS 30X90;174;SI;RACK 09;MODULO 2;FILA 5;NO;SI;26-04-102
8429991787714;AZULEJO PANTIN GRIS 30X60;174;SI;RACK 09;MODULO 2;FILA 4;SI;NO;28-12-103
8429991787707;AZULEJO PANTIN MUD 30X60;174;SI;RACK 09;MODULO 2;FILA 4;SI;NO;28-12-102
5036581066406;AZULEJO KOFRAGE GRIS 20X60;174;SI;RACK 09;MODULO 2;FILA 5;SI;NO;28-04-102
5036581065775;AZULEJO TEXTILE DECOR 20X60;174;SI;RACK 09;MODULO 2;FILA 1;SI;NO;28-11-101
8435433544142;AZULEJO BAYAZ GRIS MOSAIC 25X50;174;SI;RACK 09;MODULO 2;FILA 4;SI;NO;28-12-101
8435433544173;AZULEJO BAYAZ BEIGE MOSAIC 25X50;174;SI;RACK 09;MODULO 2;FILA 4;SI;NO;28-04-101
5036581065768;AZULEJO TEXTILE 20X60;174;SI;RACK 09;MODULO 2;FILA 1;NO;SI;26-04-103
8435433542377;AZULEJO BAYAZ GRIS MATE 25X50;174;SI;RACK 09;MODULO 2;FILA 4;SI;NO;28-12-403
8435433542438;AZULEJO BAYAZ BEIGE MATE 25X50;174;SI;RACK 09;MODULO 2;FILA 4;SI;NO;28-04-203
5036581089566;AZULEJO KONKRETE DECOR 20X60;174;SI;RACK 09;MODULO 2;FILA 3;SI;NO;28-12-201
5036581089559;AZULEJO KONKRETE MULTICOLOR 20X60;174;SI;RACK 09;MODULO 2;FILA 3;SI;NO;28-12-301
5059340460215;AZULEJO CALISTE GRIS 25X40;174;SI;RACK 09;MODULO 2;FILA 2;SI;NO;28-12-203
5036581089597;AZULEJO KONKRETE MURETO GRIS 20X60;174;SI;RACK 09;MODULO 2;FILA 3;SI;NO;28-12-303
5036581089580;AZULEJO KONKRETE MURETO MARFIL 20X60;174;SI;RACK 09;MODULO 2;FILA 3;SI;NO;28-12-202
5059340460239;AZULEJO CALISTE DECOR 25X40;174;SI;RACK 09;MODULO 2;FILA 2;SI;NO;28-12-302
5036581089542;AZULEJO KONKRETE GRIS 20X60;174;SI;RACK 09;MODULO 2;FILA 3;SI;NO;28-13-102
5036581089535;AZULEJO KONKRETE MARFIL 20X60;174;SI;RACK 09;MODULO 2;FILA 3;SI;NO;28-12-401
5059340460208;AZULEJO CALISTE GRIS CLARO 25X40;174;SI;RACK 09;MODULO 2;FILA 2;NO;SI;26-04-101
5059340781976;AZULEJO LEAH CREMA 30X90;175;SI;RACK 08;MODULO 1;FILA 2;SI;NO;28-08-403
8429991787653;AZULEJO SALINAS GOLD 30X60;175;SI;RACK 08;MODULO 1;FILA 1;SI;NO;28-11-402
8429991787646;AZULEJO PALMAR BLANCO RECT 30X60;175;SI;RACK 08;MODULO 1;FILA 3;SI;NO;28-11-401
5059340781945;AZULEJO LEAH AZUL 30X90;175;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
5059340719528;AZULEJO LEAH DECOR BRILLO 30X90;175;SI;RACK 08;MODULO 1;FILA 2;SI;NO;28-11-301
8432712292398;AZULEJO HARMONY AZUL 30X60;175;SI;RACK 08;MODULO 1;FILA 4;SI;NO;28-11-103
5059340719627;AZULEJO LEAH MATE 30X90;175;SI;RACK 08;MODULO 1;FILA 2;SI;NO;28-11-403
5059340719542;AZULEJO LEAH BRILLO 30X90;175;SI;RACK 08;MODULO 1;FILA 2;NO;SI;26-03-101
8435414126275;AZULEJO MINERVA GOLD BRILLO 30X90;175;SI;RACK 08;MODULO 1;FILA 1;NO;SI;26-01-101
5036581065065;AZULEJO ELEGANCE 20X60 CAPUCCINO;175;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
5059340781921;AZULEJO ZALIE GRIS 30X90;175;SI;RACK 08;MODULO 2;FILA 3;SI;NO;28-01-103
8432712292367;AZULEJO HARMONY VERDE 30X60;175;SI;RACK 08;MODULO 1;FILA 4;SI;NO;28-11-201
8432712288551;AZULEJO LIFE VERDE 30X60;175;SI;RACK 08;MODULO 1;FILA 4;SI;NO;28-11-303
8432712288582;AZULEJO LIFE AZUL  30X60;175;SI;RACK 08;MODULO 1;FILA 4;SI;NO;28-11-203
5036581064884;AZULEJO IDEAL DECOR BLANCO 25X40;175;SI;RACK 08;MODULO 1;FILA 1;SI;NO;28-11-302
5036581065201;AZULEJO ELEGANCE 20X60 STATUARIO;175;SI;RACK 08;MODULO 1;FILA 3;SI;NO;28-06-201
8432712288490;AZULEJO LIFE BLANCO 30X60;175;SI;RACK 08;MODULO 1;FILA 4;SI;NO;28-11-202
5036581064877;AZULEJO IDEAL BLANCO 25X40;175;SI;RACK 08;MODULO 1;FILA 1;NO;SI;26-03-103
5036581065218;AZULEJO ELEGANCE 20X60 STATUARIO DEING DEC;175;SI;RACK 08;MODULO 1;FILA 3;SI;NO;28-06-203
5063022638397;AZULEJO LARI LIGHT GREY 25X40;175;SI;RACK 08;MODULO 2;FILA 1;SI;NO;28-10-303
8435414113527;PAVIMENTO VINTAGE 22,5X90;180;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
5063022088956;PAVIMENTO FABRE BEIGE 20.5X61.5;180;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
8429178398283;PAV CARTAGO HAYA C1 23,3X120;180;SI;RACK 13;MODULO 1;FILA 2;NO;SI;24-13-102
8435414127845;PAVIMENTO UCLES NATURAL 22.5X90;180;SI;RACK 13;MODULO 2;FILA 4;NO;SI;24-13-101
5059340433233;PAVIMENTO BARSAN 20X60 GRIS;180;SI;RACK 13;MODULO 1;FILA 3;NO;SI;24-14-101
3663602679318;PAVIMENTO NORWEGIO DARK OAK 30X60;180;NO;#N/A;#N/A;#N/A;SI;NO;28-02-203
8429178840003;PAVIMENTO AMAGA BEIGE 24X88;180;SI;RACK 13;MODULO 2;FILA 1;NO;SI;24-12-102
5059340433240;PAVIMENTO MADINE 45X45;180;SI;RACK 13;MODULO 1;FILA 2;NO;SI;24-11-102
5059340433424;PAVIMENTO FABRE 20X60 MARRON;180;SI;RACK 13;MODULO 2;FILA 4;SI;NO;28-06-402
3663602679332;PAVIMENTO NORWEGIO GRIS 30X60;180;SI;RACK 13;MODULO 1;FILA 1;NO;SI;24-14-103
5063022022561;PAVIMENTO CLIZI 24X88 GRIS 8.5MM;180;SI;RACK 13;MODULO 1;FILA 4;SI;NO;28-06-401
3663602675846;PAVIMENTO WOODPROJECT 20X120;180;SI;RACK 13;MODULO 2;FILA 5;SI;NO;28-04-202
8429991784904;PAVIMENTO JANO ZARAUTZ C2 BLANCO 23X...;180;SI;RACK 13;MODULO 1;FILA 5;SI;NO;28-06-301
3663602676485;PAVIMENTO PINE GRIS 20X80;180;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
8435414126282;PAVIMENTO UCLES 22.5X90 MADERA;180;SI;RACK 13;MODULO 2;FILA 3;NO;SI;24-14-102
8429991784881;PAVIMENTO JANO ZARAUTZ C2 GRIS 23X120;180;SI;RACK 13;MODULO 1;FILA 3;SI;NO;28-06-303
3663602675808;PAVIMENTO PINE GREIGE 20X80.;180;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
8435414109278;PAVIMENTO MÓNACO 22,5X90;180;SI;RACK 13;MODULO 2;FILA 5;SI;NO;28-04-302
8429991784898;PAVIMENTO JANO ZARAUTZ C2 ROBLE 23X120;180;SI;RACK 13;MODULO 1;FILA 5;SI;NO;28-06-302
8435609333891;PAVIMENTO TORAN 23 X 120 CAOBA;180;NO;#N/A;#N/A;#N/A;SI;NO;28-02-101
8435609317396;PAVIMENTO ASSEN GRIS 45X45;180;SI;RACK 11;MODULO 1;FILA 3;NO;SI;24-02-103
8429991953577;PAVIMENTO ZICATELA BLANCO 60X120;180;SI;RACK 11;MODULO 1;FILA 3;NO;SI;24-01-103
8435609333921;PAVIMENTO TORAN 23 X 120 GRIS;180;SI;RACK 13;MODULO 2;FILA 3;SI;NO;28-06-403
5059340720951;PAVIMENTO DAMIAN 45X45 GRIS;180;SI;RACK 11;MODULO 1;FILA 1;NO;SI;24-01-101
3663602677413;PAVIMENTO STRUCTURED BEIGE 60X60;180;SI;RACK 11;MODULO 1;FILA 2;SI;NO;28-04-301
8435609333952;PAVIMENTO TORAN 23 X 120 HAYA (REEMPLAZADO POR SELVA);180;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
5059340721026;PAVIMENTO DAMIÁN 45X45 BEIGE;180;SI;RACK 11;MODULO 1;FILA 2;SI;NO;28-05-402
3663602677000;PAVIMENTO FLOATED GRIS 60X60.;180;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
5059340854267;PAVIMENTO SHADED SLATE 30X60 GRIS;180;SI;RACK 10;MODULO 2;FILA 1;SI;NO;28-05-103
5059340812311;PAVIMENTO BELINDA 45X45 CORAL;180;SI;RACK 12;MODULO 1;FILA 3;SI;NO;28-05-301
5059340269610;PAVIMENTO ARUMA 60X60;180;SI;RACK 12;MODULO 1;FILA 4;SI;NO;28-01-102
5059340854236;PAVIMENTO SHADED SLATE 30X60 ANTRACITA;180;SI;RACK 12;MODULO 2;FILA 3;SI;NO;28-05-201
5059340721002;PAVIMENTO BELINDA 45X45 BEIGE;180;SI;RACK 12;MODULO 1;FILA 1;SI;NO;28-05-401
5059340874937;PAVIMENTO ENORA 60X60 ANTRACITA;180;SI;RACK 12;MODULO 1;FILA 4;SI;NO;28-05-302
8429991793449;PAVIMENTO NEW PORT SILVER 60X60 C2;180;SI;RACK 12;MODULO 2;FILA 1;SI;NO;28-05-102
5059340720968;PAVIMENTO BELINDA 45X45 GRIS;180;SI;RACK 12;MODULO 1;FILA 2;NO;SI;24-10-101
8435609330777;PAVIMENTO GOLDEN HILL SATINADO 45X45;180;SI;RACK 12;MODULO 1;FILA 1;NO;SI;24-10-102
5063022605061;PAVIMENTO NISIDA SLIM 60X120;180;SI;RACK 12;MODULO 1;FILA 3;SI;NO;28-05-403
5059340720999;PAVIMENTO LUDO 33X33 COTTO;180;SI;RACK 11;MODULO 2;FILA 1;SI;NO;28-06-102
8435414101517;PAVIMENTO GRANADA HIDRAULICO 33X33;180;SI;RACK 11;MODULO 2;FILA 2;NO;NO;#N/A
8429991953478;PAVIMENTO SALINAS GOLD 60X120;180;SI;RACK 12;MODULO 1;FILA 2;NO;SI;24-10-103
5059340721040;PAVIMENTO LUDO 33X33 ARENA;180;SI;RACK 11;MODULO 2;FILA 1;SI;NO;28-05-101
8432712270556;PAVIMENTO STAR BLACK  45X45;180;SI;RACK 11;MODULO 2;FILA 2;SI;NO;28-06-103
8429991798857;PAVIMENTO SALINAS GOLD 60X60;180;SI;RACK 12;MODULO 1;FILA 1;SI;NO;28-04-201
5059340460383;PAVIMENTO COTTO TERRACOTTA 33X33;180;SI;RACK 11;MODULO 2;FILA 1;NO;SI;24-11-103
8429991787479;PAVIMENTO FLOWER 45X45;180;SI;RACK 11;MODULO 2;FILA 2;SI;NO;28-06-101
8435414125131;PLAQUETA CERVINO CREMA 32X48;179;SI;RACK 08;MODULO 2;FILA 5;SI;NO;28-09-101
8435414122574;PLAQUETA TEIDE GRIS 17X52;179;SI;RACK 08;MODULO 2;FILA 5;SI;NO;28-09-102
8435414109070;PLAQUETA ARAIA 20X50;179;NO;#N/A;#N/A;#N/A;NO;NO;#N/A
8435414125100;PLAQUETA CERVINO MIX 32X48;179;SI;RACK 08;MODULO 2;FILA 5;SI;NO;28-09-201
8435414124189;PLAQUETA TEIDE BLANCO 17X52;179;SI;RACK 08;MODULO 2;FILA 5;SI;NO;28-09-103
5063022525574;PLAQUETA ORSO 25X50 CARAVISTA;179;SI;RACK 08;MODULO 1;FILA 5;SI;NO;28-10-102
8435414122468;PLAQUETA TEIDE BEIGE 17X52;179;SI;RACK 08;MODULO 2;FILA 5;SI;NO;28-10-103
8435433537328;PLAQUETA FLANDES BLANCO 25X50;179;SI;RACK 08;MODULO 1;FILA 5;SI;NO;28-10-203
5059340719511;PLAQUETA ORSO 25X50 BLANCO;179;SI;RACK 08;MODULO 1;FILA 5;SI;NO;28-10-202
5059340719566;PLAQUETA ORSO 25X50 MARRON;179;SI;RACK 08;MODULO 1;FILA 5;SI;NO;28-10-201
8435425577783;PAVIMENTO ADOVERY TAUPE 23X120;179;SI;RACK 10;MODULO 1;FILA 3;SI;NO;28-09-402
8429991787493;PAVIMENTO RODILES PEARL 20X75 C3;179;SI;RACK 10;MODULO 2;FILA 1;SI;NO;28-09-203
5059340719597;PLAQUETA ORSO 25X50 PIZARRA;179;SI;RACK 08;MODULO 1;FILA 5;SI;NO;28-02-103
8435433518471;PAVIMENTO ADOVERY WENGUE 23X120;179;SI;RACK 10;MODULO 1;FILA 3;SI;NO;28-04-303
8429991787509;PAVIMENTO RODILES NUT 20X75 C3;179;SI;RACK 10;MODULO 2;FILA 2;SI;NO;28-09-303
5059340719610;PLAQUETA DANY 25X40 BEIGE;179;SI;RACK 08;MODULO 1;FILA 5;NO;SI;26-05-101
5059340830179;PAVIMENTO BROOWN 23X120;179;SI;RACK 10;MODULO 2;FILA 2;SI;NO;28-09-301
8429991787516;PAVIMENTO RODILES CREAM 20X75 C3;179;SI;RACK 10;MODULO 2;FILA 2;SI;NO;28-09-302
3663602678465;PAVIMENTO TUMBLED CREMA MULTIFORMATO;179;SI;RACK 12;MODULO 2;FILA 4;SI;NO;28-08-301
